round	value	daily_double	category	comments	answer	question	air_date	notes
2	600	no	ART & ARTISTS	-	The Andy Warhol Museum opened in this western Pennsylvania city in May 1994	Pittsburgh	1994-11-09	1994 Celebrity Jeopardy! game 3.
2	800	no	ART & ARTISTS	-	He was never invited to join the Royal Academy though the portrait of his mom was exhibited there	Whistler	1994-11-09	1994 Celebrity Jeopardy! game 3.
2	1000	no	ART & ARTISTS	-	His "The Anatomy Lesson of Dr. Tulp" hangs in the Maurithuis in the Hague	Rembrandt	1994-11-09	1994 Celebrity Jeopardy! game 3.
2	600	no	NUCLEAR PHYSICS	-	In 1938 a sample of this element symbolized U was split into smaller barium atoms	uranium	1994-11-09	1994 Celebrity Jeopardy! game 3.
2	800	no	NUCLEAR PHYSICS	-	Splitting nuclei is called fission; combining nuclei is called this	fusion	1994-11-09	1994 Celebrity Jeopardy! game 3.
2	1000	no	NUCLEAR PHYSICS	-	The central part of a nuclear reactor, it's where the fuel is	core	1994-11-09	1994 Celebrity Jeopardy! game 3.
3	0	no	DECLARATION OF INDEPENDENCE	-	Alphabetically, he was the first signer of the Declaration of Independence	John Adams	1994-11-09	1994 Celebrity Jeopardy! game 3.
1	100	no	EUROPE	-	You can see this country's crown jewels on display at Rosenborg Castle in Copenhagen	Denmark	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	200	no	EUROPE	-	This country whose capital is Helsinki has about 60,000 lakes	Finland	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	300	no	EUROPE	-	Ernest Hemingway called this French city "A Moveable Feast\"	Paris	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	400	no	EUROPE	-	Playwright Henrik Ibsen's study is now in the Norwegian Folk Museum in this capital city	Oslo	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	500	yes	EUROPE	-	Scheveningen is a popular beach resort near Delft in this country	the Netherlands	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	100	no	SITCOM CHARACTERS	-	This mailman on "Cheers" gleaned some of his knowledge from reading the magazines he delivered	Cliff (Clavin)	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	200	no	SITCOM CHARACTERS	-	\"The Days and Nights of" this divorcee moved from NBC to the Lifetime Network in 1989	Molly Dodd	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	300	no	SITCOM CHARACTERS	-	This character was a "lovely lady who was bringing up three very lovely girls\"	Carol Brady	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	400	no	SITCOM CHARACTERS	-	He plays assistant football coach Luther Van Dam on "Coach\"	Jerry Van Dyke	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	500	no	SITCOM CHARACTERS	-	Name of the writer played by Rose Marie on "The Dick Van Dyke Show\"	Sally Rogers	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	100	no	BUSINESS & INDUSTRY	-	In 1990 this entertainment company opened its first mall restaurant-- Mickey's Kitchen	Disney	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	200	no	BUSINESS & INDUSTRY	-	The New York Stock Exchange symbol for this cereal maker is rather special -- K	Kellogg	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	300	no	BUSINESS & INDUSTRY	-	Robert Haas, CEO of this jeans maker, is the great-great-grandnephew of its founder	Levi's (Levi Strauss)	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	400	no	BUSINESS & INDUSTRY	-	In 1981 the Tribune Company acquired this baseball team from William Wrigley	the Cubs	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	500	no	BUSINESS & INDUSTRY	-	Mitsubishi Motors owns 15% of this Korean maker of the Excel automobile	Hyundai	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	100	no	MAMMALS	-	The stripes that distinguish it from other members of the horse family may act as protective coloration	a zebra	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	200	no	MAMMALS	-	The largest species of this flying mammal is pteropus vampyrus, a type of "flying fox\"	a bat	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	300	no	MAMMALS	-	These mammals can project their foul-smelling spray 12 feet & they always aim for the face	a skunk	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	400	no	MAMMALS	-	In rhinoceroses, this sense is the poorest	sight (vision)	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	500	no	MAMMALS	-	South America's giant species of this armored mammal is endangered by hunting & habitat loss	armadillo	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	100	no	BARE FACTS	-	You could call this "Lady" of English legend the original "bareback" rider	Lady Godiva	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	200	no	BARE FACTS	-	It's a "thin" term for swimming without your bathing suit	skinny dipping	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	300	no	BARE FACTS	-	It's the term for the stand-in who performs your nude scenes while you relax in your trailer	a body double	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	100	no	ODDS & ENDS	-	This legendary beast with a long, twisted horn on its forehead was usually pure white	a unicorn	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	200	no	ODDS & ENDS	-	According to Aesop, this "breeds contempt\"	familiarity	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	300	no	ODDS & ENDS	-	This symbolic border between the North & South was named for its surveyors	the Mason-Dixon line	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	400	no	ODDS & ENDS	-	It's the Latin title of the Christmas hymn "O Come All Ye Faithful\"	Adeste Fideles	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	500	no	ODDS & ENDS	-	Named from the Greek for "rainbow", this flower is featured in the fleur-de-lis	iris	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	200	no	AMERICAN HISTORY	-	At the 1814 Battle of Lundy's Lane, American & British forces clashed near Niagara Falls, in this country	Canada	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	400	no	AMERICAN HISTORY	-	This heiress was convicted March 20, 1976 for a 1974 San Francisco bank robbery	Patty Hearst	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	600	no	AMERICAN HISTORY	-	This war was waged in 1898 for the purpose of liberating Cuba	the Spanish-American War	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	800	no	AMERICAN HISTORY	-	This group released it report on the Kennedy assassination September 27, 1964	the Warren Commission	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	1000	no	AMERICAN HISTORY	-	On July 12, 1920 this Democratic president officially dedicated the Panama Canal	Woodrow Wilson	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	200	no	ACTORS & ACTRESSES	-	Wounded during the Korean War, this original "Maverick" was awarded a Purple Heart	James Garner	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	400	no	ACTORS & ACTRESSES	-	Louise of "Thelma and Louise", she also appeared in the cult classic "The Rocky Horror Picture Show\"	(Susan) Sarandon	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	600	no	ACTORS & ACTRESSES	-	They met just prior to filming "To Have and Have Not" & vowed to have & to hold shortly after	Bogie & Bacall	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	800	no	ACTORS & ACTRESSES	-	In most of his films, including "Dinner at Eight", this actor preferred to show only his "great profile\"	John Barrymore	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	1000	no	ACTORS & ACTRESSES	-	He first came to fame playing Charles Ryder on the TV series "Brideshead Revisited\"	Jeremy Irons	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	200	no	5-LETTER WORDS	-	It's the sharp sound of a whip or thunder	crack	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	400	no	5-LETTER WORDS	-	Resell a theater ticket at a greatly inflated price	scalp	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	600	no	5-LETTER WORDS	-	It's a group of fruit trees planted together	a grove	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	800	no	5-LETTER WORDS	-	If a camel is the ship of the desert, that would make this cousin the ship of the Andes	a llama	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	1000	no	5-LETTER WORDS	-	It can refer to an inn, a rustic cottage, or a beaver's home	a lodge	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	200	no	LANDMARKS	-	Thousands of metal parts for this Paris landmark were prefabricated & numbered for assembly	the Eiffel Tower	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	400	no	LANDMARKS	-	This limestone monument near Giza, Egypt has often been buried up to its neck in sand	the Sphinx	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	600	no	LANDMARKS	-	This beautiful white mausoleum stands on the banks of the Yamuna River at Agra, India	the Taj Mahal	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	800	no	LANDMARKS	-	This seat of the Roman Catholic archdiocese of New York was designed by James Renwick	St. Patrick's Cathedral	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	5000	yes	LANDMARKS	-	Construction of this famous Italian tower began in 1174 & took almost 200 years to complete	the Leaning Tower of Pisa	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	200	no	COOKING	-	If you have leftover pickles, put them in the food processor & make this hot dog topping	relish	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	400	no	COOKING	-	Nigiri sushi is simple to make; it's just a thin slice of raw fish on a small bed of this	rice	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	600	no	COOKING	-	In most recipes you can substitute these tropical tubers for sweet potatoes	yams	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	800	no	COOKING	-	It's the term for butter with the milk solids removed	clarified	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	1000	no	COOKING	-	This Mexican dish consists of a fried egg covered with salsa on a tortilla	huevos rancheros	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	200	no	BOOKS & AUTHORS	-	\"The Return of the King" is the third book in this J.R.R. Tolkien trilogy	The Lord of the Rings	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	400	no	BOOKS & AUTHORS	-	In the title of a 1983 bestseller, Erma Bombeck called this "The Second Oldest Profession\"	motherhood	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	600	no	BOOKS & AUTHORS	-	This author of "The Other Side of Midnight" turned to medicine for his novel "Nothing Lasts Forever\"	Sidney Sheldon	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	800	no	BOOKS & AUTHORS	-	Novels in his Asian saga include "Tai-Pan" & "Gai-Jin\"	James Clavell	1994-11-10	1994 Celebrity Jeopardy! game 4.
2	1000	yes	BOOKS & AUTHORS	-	Published in 1942, "My World--and Welcome to It" is a collection of writings by this humorist	James Thurber	1994-11-10	1994 Celebrity Jeopardy! game 4.
3	0	no	FAMOUS SHIPS	-	It left Spithead, England December 23, 1787 & arrived in Tahiti October 26, 1788	the Bounty	1994-11-10	1994 Celebrity Jeopardy! game 4.
1	100	no	THE 1980s	-	It was the 3-word slogan of the First Lady's 1983 program to combat drug use	\"Just say no.\"	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	200	no	THE 1980s	-	Debris from this volcano's eruption on May 18, 1980 blocked traffic on the Columbia River	Mount St. Helens	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	300	no	THE 1980s	-	With his death in 1989, the Chrysanthemum Throne had a new ruler, Akihito	Hirohito	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	500	yes	THE 1980s	-	Playwright turned politician Vaclav Havel became this country's president in 1989	Czechoslovakia	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	100	no	TV ACTORS & ROLES	-	Regis Philbin knows that this co-host used to play Kathie Honey on the musical sitcom "Hee Haw Honeys\"	Kathie Lee Gifford	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	200	no	TV ACTORS & ROLES	-	Raquel Welch was considered for the role of Mary Ann on this series but Dawn Wells got the part	Gilligan's Island	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	300	no	TV ACTORS & ROLES	-	On "Dallas" Barbara Bel Geddes portrayed Eleanor Southworth Ewing, whom most folks called this	Miss Ellie	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	400	no	TV ACTORS & ROLES	-	This actress who's married to Clint Black had the title role in "Tabitha", a sequel to "Bewitched\"	Lisa Hartman	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	500	no	TV ACTORS & ROLES	-	This actress who played Ethel Mertz on "I Love Lucy" was some 20 yrs. younger than William Frawley who played Fred	Vivian Vance	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	100	no	TRANSPORTATION	-	It's the form of transportation Parisians call Le Metro	the subway	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	200	no	TRANSPORTATION	-	This car failure from Ford was introduced in 1957 to compete with General Motors' Oldsmobile	the Edsel	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	300	no	TRANSPORTATION	-	February 15 is remembered as the day this battleship blew up in Havana Harbor	the Maine	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	100	no	THE BIBLE	-	The Lord prepared a great fish to swallow up this man who spent 3 days & nights inside it	Jonah	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	200	no	THE BIBLE	-	According to Genesis 1:1, it's when "God created the heaven and the earth\"	\"In the beginning\"	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	300	no	THE BIBLE	-	2 Chronicles 5 says that when this was installed in the temple it contained only 2 tablets	the Ark of the Covenant	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	400	no	THE BIBLE	-	Joseph interpreted these for the chief butler, the chief baker & the pharaoh	dreams	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	500	no	THE BIBLE	-	\"Beware of false" ones of these "which come to you in sheep's clothing, but inwardly they are ravening wolves\"	prophets	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	100	no	CATS & DOGS	-	The Lilac Point type of this "Thai" cat has a white body with pinkish gray markings	a Siamese cat	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	200	no	CATS & DOGS	-	The Peke Face Persian cat is so named because its face resembles this dog's	a Pekingese	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	300	no	CATS & DOGS	-	A rumpy is a Manx cat that lacks one of these, while a stumpy has a short one	a tail	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	400	no	CATS & DOGS	-	This spotted dog is also known as the "firehouse dog\"	a dalmatian	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	500	no	CATS & DOGS	-	The Jack Russell type of this dog is named for the clergyman who developed it	terrier	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	100	no	END WITH "TIC\"	-	It's the room or space just below the roof of a house	the attic	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	200	no	END WITH "TIC\"	-	This term for an utterly foolish person is from the Latin word for "moon\"	a lunatic	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	300	no	END WITH "TIC\"	-	Type of pencil you'd use to stop bleeding after a shave	a styptic pencil	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	400	no	END WITH "TIC\"	-	A Rodgers & Hart song asks, "Isn't it" this? "Music in the night, a dream that can be heard\"	romantic	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	500	no	END WITH "TIC\"	-	Wilson Mizner described this person as one "who surprises the playwright by informing him what he meant\"	the critic	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	200	no	U.S. PRESIDENTS	-	He broke the tradition of serving only 2 terms as president & in 1945 was sworn in for a 4th	Franklin Roosevelt	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	400	no	U.S. PRESIDENTS	-	\"H.U.G." & "Unconditional Surrender" were among his many nicknames	(Ulysses S.) Grant	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	600	no	U.S. PRESIDENTS	-	\"A Thousand Days" by Arthur M. Schlesinger Jr. is an account of his administration	(John) Kennedy	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	800	no	U.S. PRESIDENTS	-	He was the only chief executive reelected to the presidency after being defeated	Grover Cleveland	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	1000	yes	U.S. PRESIDENTS	-	President to whom Edwin Stanton was referring when he said, "Now he belongs to the ages\"	Abraham Lincoln	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	200	no	THE OSCARS	-	These 2 Hepburns competed against each other for the 1959 & 1967 Best Actress Oscars	Audrey and Katharine Hepburn	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	400	no	THE OSCARS	-	1961's Best Actor, Maximilian Schell, directed the 1984 Oscar-nominated film "Marlene", about this star	Marlene Dietrich	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	600	no	THE OSCARS	-	After winning her first Oscar, for "Butterfield 8", she went backstage & fainted	Elizabeth Taylor	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	800	no	THE OSCARS	-	Eva Marie Saint was 1954's Best Supporting Actress for her movie debut in this Marlon Brando classic	On the Waterfront	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	1000	no	THE OSCARS	-	Neil Simon & this actress, his wife at the time, were both 1977 nominees for "The Goodbye Girl\"	Marsha Mason	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	200	no	GEOGRAPHY	-	One of the world's largest rainforests is located in the basin of this largest South American river	the Amazon	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	400	no	GEOGRAPHY	-	During part of the year, some of the peaks of this largest desert in the world are snowcapper	the Sahara	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	600	no	GEOGRAPHY	-	The home of Monte Carlo, this country barely covers half a square mile	Monaco	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	800	no	GEOGRAPHY	-	Auckland, the chief port city of this country, was once its capital	New Zealand	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	200	no	CLASSICAL MUSIC	-	J.S. Bach's best-known toccata is the Toccata in D Minor for this keyboard instrument	the organ	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	400	no	CLASSICAL MUSIC	-	This, George Gershwin's only full-length opera, premiered in Boston in 1935	Porgy and Bess	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	600	no	CLASSICAL MUSIC	-	In 1762 his father Leopold took him & his sister Maria Anna, also a prodigy, to Munich	Mozart	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	800	no	CLASSICAL MUSIC	-	He sketched out a 10th symphony after his Choral 9th but died before he could write it	Beethoven	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	1000	no	CLASSICAL MUSIC	-	His Symphony No. 1 (Jeremiah) debuted in New York during the same year as his musical "On the Town\"	Leonard Bernstein	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	200	no	THE OLYMPICS	-	This country participated in the 1992 Summer Games after a 32-year suspension due to Apartheid	South Africa	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	200	no	LITERATURE	-	This evil alter ego destroys the portrait of Dr. Jekyll's father	Mr. Hyde	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	400	no	LITERATURE	-	The hero of this Cervantes novel becomes obsessed with chivalry & decides to be a knight errant	Don Quixote	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	600	no	LITERATURE	-	Chapter 9 of this Alexandre Dumas novel is titled "D'Artagnan Reveals Himself\"	The Three Musketeers	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	800	no	LITERATURE	-	Rostopchin is Moscow's governor-general in this author's famous novel "War and Peace\"	Tolstoy	1994-11-11	1994 Celebrity Jeopardy! game 5.
2	2000	yes	LITERATURE	-	This poet wrote the preface to his wife Mary's 1818 novel "Frankenstein\"	(Percy) Shelley	1994-11-11	1994 Celebrity Jeopardy! game 5.
3	0	no	ANCIENT ROME	-	One of these commanded 100 of the 6000 men in a legion	a centurion	1994-11-11	1994 Celebrity Jeopardy! game 5.
1	100	no	BLACK AMERICA	-	Ralph Bunche was the first black American to win the Nobel Peace Prize & this civil rights leader was second	Martin Luther King, Jr.	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	200	no	BLACK AMERICA	-	This state song of Virginia was written by black composer James A. Bland	\"Carry Me Back to Old Virginny\"	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	300	no	BLACK AMERICA	-	When he retired from the Supreme Court in 1991, Clarence Thomas was appointed to his seat	Thurgood Marshall	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	400	no	BLACK AMERICA	-	In 1957 she became the first black American athlete to win the Wimbledon singles	Althea Gibson	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	500	no	BLACK AMERICA	-	This "Beloved" author was born Chloe Anthony Wofford in 1931	Toni Morrison	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	100	no	MOVIE THRILLERS	-	In 1988 this 1962 Frank Sinatra film based on Richard Condon's novel was re-released to the theatres	The Manchurian Candidate	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	200	no	MOVIE THRILLERS	-	Joe Eszterhas received a record $3 million for his script of this 1992 Michael Douglas-Sharon Stone film	Basic Instinct	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	300	no	MOVIE THRILLERS	-	Joseph Wiseman played the lanky title villain in this 1962 James Bond movie, the first in the series	Dr. No	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	400	no	MOVIE THRILLERS	-	The finale of Alfred Hitchcock's "Saboteur" takes place on this national landmark	Statue of Liberty	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	500	no	MOVIE THRILLERS	-	Barbara Stanwyck got an Oscar nomination for her role in this 1948 thriller based on a 1943 radio play	Sorry, Wrong Number	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	100	no	DECORATIVE ARTS	-	A popular Chippendale style of the 1750s was inspired by designs from this large Asian country	China	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	200	no	DECORATIVE ARTS	-	Point d'Angleterre is a lovely example of the bobbin or pillow type of this dainty fabric	lace	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	300	no	DECORATIVE ARTS	-	\"The Hunt of the Unicorn" is a famous example of the mille-fleur type of this wall hanging	Tapestry	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	400	no	DECORATIVE ARTS	-	This sleek, elegant style of the 1920s is also known as jazz modern	art deco	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	500	no	DECORATIVE ARTS	-	This English potter was noted for the black basaltes ware he developed around 1768	Josiah Wedgwood	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	100	no	WORLD FACTS	-	These islands about 100 miles north of Scotland are famous for their sheepdogs & ponies	Shetland Islands	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	200	no	WORLD FACTS	-	The Sanjuanito is considered the national dance of this country that is crossed by the equator	Ecuador	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	300	no	WORLD FACTS	-	Over half the population of this Malaysian capital is of Chinese ethnicity	Kuala Lumpur	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	400	no	WORLD FACTS	-	You'll find the Museum of Catalan Art in this Spanish city, the capital of Catalonia	Barcelona	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	600	yes	WORLD FACTS	-	Baku, the capital of Azerbaijan, lies on this sea	the Caspian Sea	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	100	no	ORGANIZATIONS	-	\"American Birds" is a publication of this organization	National Audubon Society	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	200	no	ORGANIZATIONS	-	In 1986 Red Crescent became part of its official name	International Red Cross	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	300	no	ORGANIZATIONS	-	This organization sponsors the Great American Smokeout the third Thursday in November	American Cancer Society	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	400	no	ORGANIZATIONS	-	General Ambrose Burnside was one of the early leaders of this organization, abbreviated GAR	Grand Army of the Republic	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	500	no	ORGANIZATIONS	-	\"We Build" is the club motto of this civic organization with an Indian name	Kiwanis International	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	100	no	QUOTATIONS	-	Shaw wrote, "A government which" does this "to pay Paul can always depend on the support of Paul\"	Robs Peter	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	200	no	QUOTATIONS	-	He was quoted April 14, 1961: "I could have gone on flying through space forever\"	Yuri Gagarin	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	300	no	QUOTATIONS	-	Virgil spoke of it as "flying, never to return", a sign he was having fun	Time	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	400	no	QUOTATIONS	-	Truman said, "It's a recession when your neighbor loses his job, it's" this "when you lose your own\"	Depression	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
1	500	no	QUOTATIONS	-	Konrad Adenauer defined this subject as "the sum total of things that could have been avoided\"	History	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	200	no	16th CENTURY PEOPLE	-	This Englishman introduced the potato to Ireland & popularized tobacco smoking in Britain	Sir Walter Raleigh	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	400	no	16th CENTURY PEOPLE	-	In 1570, this Russian czar ravaged Novgorod after hearing rumors that it was conspiring against him	Ivan the Terrible	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	600	no	16th CENTURY PEOPLE	-	In a 1513 work, he described the way a prince could acquire & keep power	Niccolo Machiavelli	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	1000	yes	16th CENTURY PEOPLE	-	This Italian navigator died in 1512, 5 years after Martin Waldseemuller put his name on the map	Amerigo Vespucci	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	1000	no	16th CENTURY PEOPLE	-	This "Praise of Folly" author taught Greek at Cambridge & published a Greek New Testament	Desiderius Erasmus	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	200	no	COLLEGES & UNIVERSITIES	-	The U.S. Naval War College is maintained in Newport, in this state	Rhode Island	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	400	no	COLLEGES & UNIVERSITIES	-	In 1749 this Williamsburg, Virginia college awarded George Washington his surveyors license	William and Mary	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	600	no	COLLEGES & UNIVERSITIES	-	Schools in Tulsa include the University of Tulsa & this one, named for its evangelist founder	Oral Roberts University	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	800	no	COLLEGES & UNIVERSITIES	-	Willamette University, in this state capital, is called the oldest institution of higher learning in the West	Salem, Oregon	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	1000	no	COLLEGES & UNIVERSITIES	-	This Nashville school has a collection of network evening news telecasts dating back to 1968	Vanderbilt	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	200	no	MUSIC	-	Also known for his virtuosity on the pennywhistle, this Irish flautist has taught at the Eastman School	James Galway	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	400	no	MUSIC	-	He composed the "Eroica Variations" before he wrote the "Eroica Symphony\"	Ludwig van Beethoven	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	600	no	MUSIC	-	The bands that this clarinetist led in the 1940s & 1950s were called "Herds\"	Woody Herman (and the Thundering Herds)	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	2000	yes	MUSIC	-	Duke Ellington wrote a musical based on this John Gay ballad opera	The Beggar's Opera	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	1000	no	MUSIC	-	Richard Bonynge, former musical director of the Australian Opera, is married to this soprano	Dame Joan Sutherland	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	200	no	HOLIDAYS & OBSERVANCES	-	Eid ul-Fitr marks the end of this month of fasting	Ramadan	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
2	400	no	HOLIDAYS & OBSERVANCES	-	Traditionally, the annual Egg Roll on the White House lawn takes place on this day of the week	Monday	1994-11-14	1994 Tournament of Champions quarterfinal game 1.
